reaction	reactant	product	type
R07502	C15883	C02483	kegg
R07503	C15882	C14151	kegg
R07504	C14151	C14152	kegg
R07508	C14152	C02477	kegg
R08165	C00885	C16519	kegg
R08166	C16519	C05817	kegg
R08587	C16999	C17010	kegg
R08587	C16999	C00262	kegg
R08588	C17010	C17017	kegg
R08588	C17010	C05198	kegg
R08589	C17017	C17018	kegg
R08766	C03964	C00811	kegg
R08767	C00223	C02949	kegg
R08782	C00544	C17570	kegg
R08782	C04145	C17570	kegg
R09039	C03993	C00156	kegg
R09039	C03993	C00031	kegg
R09040	C00156	C18131	kegg
R09040	C00341	C18131	kegg
R09041	C18131	C10793	kegg
R09042	C10793	C18132	kegg
R09043	C18132	C18133	kegg
R09044	C18133	C17412	kegg
R09045	C10793	C18135	kegg
R09046	C18135	C18134	kegg
R09992	C00265	C01119	kegg
R10492	C14156	C14154	kegg
R10623	C14156	C20737	kegg
R10624	C14155	C20738	kegg
R10666	C00251	C20772	kegg
R10667	C20772	C20773	kegg
R10667	C20772	C00288	kegg
R10668	C20773	C17010	kegg
R10668	C20773	C00147	kegg
R10695	C20773	C16999	kegg
R10708	C00353	C20737	kegg
R10708	C00544	C20737	kegg
R10709	C17570	C16695	kegg
R10710	C20737	C20738	kegg
R11061	C13309	C21084	kegg
R12255	C05427	C13309	kegg
R00535	C00053	C00054	kegg
R00535	C00053	C08357	kegg
R00535	C00951	C00054	kegg
R00535	C00951	C08357	kegg
R00536	C00053	C00054	kegg
R00536	C00053	C08358	kegg
R00536	C05299	C00054	kegg
R00536	C05299	C08358	kegg
R00537	C00053	C00054	kegg
R00537	C00053	C08359	kegg
R00537	C05302	C00054	kegg
R00537	C05302	C08359	kegg
R01454	C00187	C05500	kegg
R01833	C00280	C04676	kegg
R01836	C00535	C00280	kegg
R01837	C01227	C00280	kegg
R01838	C00535	C00280	kegg
R01840	C00280	C05290	kegg
R01842	C00280	C05296	kegg
R02207	C04042	C00410	kegg
R02208	C03681	C00410	kegg
R02209	C04042	C00410	kegg
R02211	C00410	C01176	kegg
R02213	C00410	C03205	kegg
R02214	C00410	C03747	kegg
R02216	C01953	C00410	kegg
R02350	C00053	C00054	kegg
R02350	C00053	C02538	kegg
R02350	C00468	C00054	kegg
R02350	C00468	C02538	kegg
R02351	C05297	C00468	kegg
R02352	C00951	C00468	kegg
R02353	C00951	C00468	kegg
R02354	C00468	C05298	kegg
R02355	C00468	C05298	kegg
R02356	C00468	C05300	kegg
R02358	C00468	C11133	kegg
R02358	C00167	C11133	kegg
R02476	C00523	C00674	kegg
